Term	Language ID	Definition	External cross reference (definition)	Note (definition)	Note (Term)	Part of speech	Grammatical gender	Grammatical number	Pronunciation	Etymology	Orthographic variant	Acronym	Full form	Abbreviation	Derivative	Collocation	Synonym	Quasi synonym	Hypernym	Hyponym	Context	External cross reference (context)	Register	Common name	Scientific name	Domain	Subdomain	Sub-subdomain
levure	fr	La levure est un champignon unicellulaire apte à provoquer la fermentation des matières organiques animales ou végétales. Les levures sont employées pour la fabrication du vin, de la bière, des alcools industriels, des pâtes levées, des antibiotiques et d'exhausteurs de goût (les extraits de levure peuvent servir comme agents de sapidité).	https://fr.wikipedia.org/wiki/Levure	NA	NA	substantif	feminin	singulier	\l(ə)vy:ʀ\	lat. médiév. levatura	NA	NA	NA	NA	NA	varietées de levure	NA	NA	champignon unicellulaire	levure naturelle; levure de culture	Les levures, utilisées au cours de la fermentation, contribuent à enrichir la palette aromatique des whiskies. Les levures (yeasts) sont des micro-organismes unicellulaires de la famille des champignons qui, en se nourrissant de sucre, produisent de l'alcool et du dioxyde de carbone. Si les variétés de levures utilisées par les distilleries sont connues, toutes gardent farouchement le secret des souches utilisées, de leurs proportions et de leurs mélanges. 	https://www.whisky.fr/elaboration-du-whisky/levures-et-fermentation	non spécialisé	levure	NA	œnologie	Autres boissons alcoliques	Whisky
maltage	fr	Le maltage, qui constitue la première étape du processus de transformation du grain en alcool, est réalisé en dehors de l'enceinte des distilleries.	https://www.whisky.fr/elaboration-du-whisky/orge-et-maltage	NA	NA	substantif	masculin	singulier	\malta:ʒ\	de malter	NA	NA	NA	NA	NA	aires de maltage	NA	NA	processus de transformation du grain en alcool	maltage industriel; maltage traditionnel	Le maltage industriel présente de nombreux avantages par rapport au maltage traditionnel. Outre les considérations de temps et de coût, les malteries produisent une orge maltée de qualité constante, en tenant compte des spécificités propres à chaque distillerie.	https://www.whisky.fr/elaboration-du-whisky/orge-et-maltage	spécialisé / non spécialisé	maltage	maltage	œnologie	Autres boissons alcoliques	Whisky
maltose	fr	Le maltose est un sucre résultant de la combinaison de deux molécules de glucose.	https://www.dictionnaire-academie.fr/article/A9M0403	Définition modifiée pour mieux expliquer le terme par rapport au sousdomaine	NA	substantif	masculin	singulier	\malto:z\	Dér. de malt	NA	NA	NA	NA	NA	NA	NA	sucre de malt	sucre	NA	La paroi cellulaire présente dans une graine d’orge se transforme en maltose, une enzyme qui va transformer l’amidon en sucre soluble, idéal pour la fermentation. Mais il faut faire attention au moment de la germination, car une germination complète des graines va affecter la qualité du whisky. Ainsi un bon maltage du shisky nécessite l’expérience absolue d’un bon fabricant de whisky.	https://www.rhum-whisky.fr/fabrication-du-whisky-qu-est-ce-que-le-maltage/	spécialisé / non spécialisé	maltose	4-O-α-D-glucopiranosil-D-glucose	œnologie	Autres boissons alcoliques	Whisky
mélanger	fr	Mélanger signifie unir deux ou plusieurs choses de manière à obtenir un tout.	https://www.dictionnaire-academie.fr/article/A9M1600	Définition modifiée pour mieux expliquer le terme par rapport au sousdomaine	NA	verbe	NA	NA	\melɑ ̃ ʒe\	Dér. de mélange	NA	NA	NA	NA	NA	mélanger les céréales	NA	NA	unir	mélanger des fûts de whiskies	La technique du vatting intervient également dans l'élaboration des single malts. Elle consiste à mélanger des fûts de whiskies d'âges différents au sein d'une même distillerie. C'est l'âge du plus jeune whisky entrant dans le mélange qui figure sur l'étiquette de la bouteille. Cette pratique, employée afin d'atténuer les disparités d'arômes et de goûts d'un fût à un autre, concerne la plupart des single malts disponibles sur le marché.	https://www.whisky.fr/elaboration-du-whisky/assemblage	non spécialisé	mélanger	NA	œnologie	Autres boissons alcoliques	Whisky
orge	fr	L’orge commune est une céréale à paille, plante herbacée annuelle de la famille des Poaceae, sous-famille des Pooideae. Elle fait partie des plus anciennes céréales cultivées.	https://fr.wikipedia.org/wiki/Orge_commune	NA	NA	substantif	feminin	singulier	\ɔ ʀ ʒ ̭\	Du lat. hordeum	NA	NA	NA	NA	NA	granis d'orge	NA	NA	céréale; plante	orge maltée	De toutes les céréales entrant dans la composition des différents types de whiskies, l'orge est celle dont la contribution à la palette aromatique est la plus significative. Depuis plus de trois cent ans, les distillateurs apportent un soin tout particulier à la sélection de l'orge, qui représente la dépense la plus importante pour une distillerie.	https://www.whisky.fr/elaboration-du-whisky/orge-et-maltage	non spécialisé	orge	Hordeum vulgare	œnologie	Autres boissons alcoliques	Whisky
orge maltée	fr	L'orge maltée est le produit du maltage, l'opération qui consiste à reproduire, de façon industrielle, les conditions nécessaires à l'amorçage de la germination naturelle d'une céréale.	https://fr.wikipedia.org/wiki/Malt	NA	synonyme de malt d'orge	substantif	feminin	singulier	\ɔ ʀ ʒ ̭\; \malte\	Du lat. Hordeum; Dér. de malt	NA	NA	NA	NA	NA	sirop d'orge maltée	malt d'orge	NA	orge; céréale	NA	Rares sont les distilleries y compris japonaises, qui possèdent encore une aire de maltage en état de fonctionnement. Aujourd'hui l'orge est maltée par des entreprises spécialisées dans des grandes malteries et les fabricants de whisky japonais importent leur orge déjà maltée.	https://www.uisuki.com/fr/cc/orge-maltage	non spécialisé	orge maltée	NA	œnologie	Autres boissons alcoliques	Whisky
Scotch	fr	Scotch whisky est le nom couramment utilisé pour qualifier le whisky en provenance d'Écosse.	https://fr.wikipedia.org/wiki/Scotch_whisky	NA	on peut utiliser Scotch ou Scotch whisky	substantif	masculin	singulier	\skɔtʃ\	Empr. à l'angl.Scotch	NA	NA	NA	NA	NA	NA	Scotch whisky; whisky ecossais	NA	whisky; boisson alcoolique	blended whisky; blend; Blended Scotch Whisky; Blended Grain Scotch Whisky: Blended Malt Scotch Whisky.	D'après le Scotch Whisky Act de 1988, le scotch désigne un whisky élaboré à partir d'un mélange d'eau, de malt, et éventuellement d'autres céréales transformées en un moût fermenté, le wash, par addition de levures. Il doit être produit et distillé en Ecosse à un degré ne dépassant pas 94,8 %.	https://www.whisky.fr/lexique/scotch-whisky	spécialisé / non spécialisé	Scotch	Scotch	œnologie	Autres boissons alcoliques	Whisky
épicer	fr	Quand on épice on assaisonne avec des épices, des aromates.	https://www.dictionnaire-academie.fr/article/A9E2183	Définition modifiée pour mieux expliquer le terme par rapport au sousdomaine	NA	verbe	NA	NA	\epise\	Dér. de épice	NA	NA	NA	NA	NA	arômes épicés	NA	assaisonner avec des épices	assaisonner	NA	Les arômes épicés regroupent les notes de cannelle, gingembre, muscade, clous de girofle, noix de muscade, poivre, trois épices ou encore badiane Une des façons d'apprendre à déceler des arômes différents est d'essayer dans un premier temps de définir à quelles familles appartiennent les aromes que l'on ressent et ensuite d'arriver à les déterminer plus précisément. Un whisky aux accents particulièrement épicés dévoilera plus difficilement des notes fleuries souvent dominées.	https://www.whisky.fr/selections/les-whiskies-epices.html?p=2	non spécialisé	épicer	NA	œnologie	Autres boissons alcoliques	Whisky
assaisonner	fr	Agrémenter les aliments d’ingrédients propres à en relever le goût.	https://www.dictionnaire-academie.fr/article/A9A2807	NA	NA	verbe	NA	NA	\asεzɔne\	Dér. de saison	NA	NA	NA	NA	NA	fût assaisonné	NA	NA	NA	épicer	Sherry Butt : d’une capacité de 478 à 500 litres. Ces gros et longs fûts sont les fûts de sherry les plus courants. Ils sont tellement utilisés pour le vieillissement du whisky qu’une véritable industrie s’est développée en Espagne, où les fûts sont construits et uniquement « assaisonnés » avec du sherry pendant 3 ans. Dans de nombreux cas, le vin contenu dans ces fûts est ensuite distillé en brandy.	https://www.prestigewhisky.fr/content/33-fut-whisky	spécialisé / non spécialisé	assaisonner	assaisonner	œnologie	Autres boissons alcoliques	Whisky
tourbe	fr	La tourbe est issue de la décomposition de végétaux, bruyère, herbe et mousse, qui, après quelques milliers d'années, se transforment en un combustible composé de déchets organiques.	https://www.whisky.fr/elaboration-du-whisky/la-tourbe	NA	avec le whisky on peut utiliser l'adjectif tourbé	substantif	feminin	singulier	\tuʀb\	Du frq. Turba	NA	NA	NA	NA	NA	etraire la tourbe	peat	NA	combustible	NA	La tourbe, peat, est utilisée au cours de l'étape ultime du maltage, le séchage. Traditionnellement, celui-ci s'effectuait à l'intérieur d'un four, le kiln, équipé d'un plancher métallique perforé sur lequel le malt vert était étalé. Ces fours surmontés de pagodes, signe distinctif des distilleries, dont la fonction est désormais purement ornementale, étaient également alimentés en coke et en charbon. 	https://www.whisky.fr/elaboration-du-whisky/la-tourbe	spécialisé / non spécialisé	tourbe	tourbe	œnologie	Autres boissons alcoliques	Whisky
whisky	fr	Le whisky est une eau-de-vie obtenue par la distillation d'une ou de plusieurs céréales et vieillie en fût de chêne, alors que le cognac et l'armagnac sont obtenus à partir de raisins, le calvados à base de pommes (et de poires), et le rhum à base de canne à sucre.	https://www.whisky.fr/elaboration-du-whisky/	NA	NA	substantif	masculin	singulier	\wiski\	Empr. à l'angl.whisky	whiskey	NA	NA	NA	NA	distiller le whisky; élaboration du whisky	NA	eau-de-vie	boisson distillée	whisky de grain; whisky de malt; whisky ecossais; blended whisky; whisky boisé; whisky tourbé.	La catégorie la plus courante est le blended whisky ou blend, qui est un assemblage d'au moins un « whisky de malt » (« pour le goût ») avec des « whiskies de grain » (« pour le volume »). Il y a souvent une proportion supérieure de whisky de grain, car moins cher à produire que le whisky de malt.	https://fr.wikipedia.org/wiki/Whisky	spécialisé / non spécialisé	whisky	whisky	œnologie	Autres boissons alcoliques	Whisky
arôme	fr	L'arôme permet de sentir le goût et l’odeur.	https://fr.wikipedia.org/wiki/Ar%C3%B4me	NA	NA	substantif	masculin	singulier	\aʀo:m\	Empr. au lat. aroma, -atis	NA	NA	NA	NA	NA	arôme du whisky	NA	odeur; goût	NA	arôme boisé; arôme tourbé	L'eau utilisée apporte des arômes spécifiques. C'est pour cette raison que les distilleries sont souvent installées près d'une rivière.	https://fr.wikipedia.org/wiki/Ar%C3%B4mes_du_whisky	spécialisé / non spécialisé	arôme	arôme	œnologie	Autres boissons alcoliques	Whisky
malting	fr	Le malting consiste à transformer l'orge en malt.	https://www.whisky.fr/lexique/malting	NA	NA	substantif	masculin	singulier	\ˈmɔːltɪŋ\	Empr. à l'angl. malting	NA	NA	NA	NA	NA	NA	NA	maltage	NA	NA	Première étape de l'élaboration des single malts, le malting consiste à transformer l'orge en malt.	https://www.whisky.fr/lexique/malting	spécialisé / non spécialisé	malting	malting	œnologie	Autres boissons alcoliques	Whisky
macération	fr	Opération qui consiste à laisser séjourner dans un liquide, à la température ambiante, diverses substances, pour en assurer la conservation et pour les aromatiser.	https://www.dictionnaire-academie.fr/article/A9M0017	NA	NA	substantif	feminin	singulier	\maseʀasj \	Empr. au lat. maceratio	NA	NA	NA	NA	NA	maceration de l'orge	NA	NA	NA	NA	Laisser macérer votre whisky sans sucre pour que les arômes se révèlent d’abord pleinement d’eux même. Puis à ajouter le sucre en fin de macération, tout en goûtant auparavant.	https://gentlemanmoderne.com/whisky-arrange-comment-faire/	spécialisé / non spécialisé	macération	macération	œnologie	Autres boissons alcoliques	Whisky
embouteiller	fr	Mettre un liquide en bouteilles.	https://www.dictionnaire-academie.fr/article/A9E0947	NA	NA	verbe	NA	NA	\ɑ ̃bute(ε)je\	Dér. de bouteille	NA	NA	NA	NA	NA	embouteiller le whisky	NA	mettre en bouteille	NA	NA	Quand le whisky est embouteillé, il y a deux types de embouteillage. Les embouteillages officiels (ou « OB ») lorsque que celui-ci est embouteillé sous le nom de la distillerie qui le produit ; et les embouteillages indépendants (ou « négoce ») lorsqu’ils sont embouteillés via l’intermédiaire d’entreprises.	https://www.prestigewhisky.fr/content/35-embouteillage	spécialisé / non spécialisé	embouteiller	embouteiller	œnologie	Autres boissons alcoliques	Whisky
bois de chêne	fr	Les copeaux de bois de chêne sont utilisés pour le fumage du poisson, de la viande, du fromage et d'autres produits alimentaires.	https://fr.wikipedia.org/wiki/Ch%C3%AAne	NA	NA	syntagme nominal	masculin	singulier	\bwɑ\; \ʃ ε:n\	Du lat. bibere; Du gaulois casnus	NA	NA	NA	NA	NA	fût en bois de chêne	NA	NA	bois	NA	Les copeaux de bois de chêne sont utilisés pour le fumage du poisson, de la viande, du fromage et d'autres produits alimentaires.	https://fr.wikipedia.org/wiki/Ch%C3%AAne	spécialisé / non spécialisé	bois de chêne	bois de chêne	œnologie	Autres boissons alcoliques	Whisky
distillat	fr	Les low wines sont ensuite acheminés vers un alambic de plus petite taille, le spirit still, pour y subir une deuxième distillation. Le premier distillat obtenu est acheminé vers le coffre à alcool afin d'être analysé. 	https://www.whisky.fr/elaboration-du-whisky/alambics-et-distillation	Définition modifiée pour mieux expliquer le terme par rapport au sousdomaine	NA	substantif	masculin	singulier	\distila\	Dér. du rad. de distiller	NA	NA	NA	NA	distillation	évaporation du distillat	eau-de-vie	NA	boisson alcoolique	Cognac; Brandy; Grappa; Whisky	Les low wines sont ensuite acheminés vers un alambic de plus petite taille, le spirit still, pour y subir une deuxième distillation. Le premier distillat obtenu est acheminé vers le coffre à alcool afin d'être analysé. 	https://www.whisky.fr/elaboration-du-whisky/alambics-et-distillation	spécialisé / non spécialisé	distillat	distillat	œnologie	Autres boissons alcoliques	Whisky
(réduction du) rendement maximum de production	fr	Le rendement maximum de production correspond au rendement maximum, par hectare de vignes, fixé par la loi pour pouvoir bénéficier d'un label.	http://www.vin-vigne.com/lexique/definition-rendement-maximum-de-production.html	NA	on le trouve sans le mot réduction	syntagme nominal	masculin	singulier	\ʀ ɑ ̃dmɑ ̃\; \maksimɔm\; \pʀ ɔdyksjɔ ̃\	xiie siècle, au sens de « reddition ». Dérivé de rendre. XIIIe siècle; XVIIIe siècle. Emprunté du latin maximum, neutre substantivé de maximus, superlatif de magnus, « grand »; Dérivé de produire, avec influence du latin productio, « allongement, prolongation », lui-même dérivé de producere, « conduire, mener en avant ; développer, faire grandir ; produire »;	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Le rendement maximum de production correspond au rendement maximum, par hectare de vignes, fixé par la loi pour pouvoir bénéficier d'un label.	http://www.vin-vigne.com/lexique/definition-rendement-maximum-de-production.html	spécialisé	(réduction du) rendement maximum de production	(réduction du) rendement maximum de production	œnologie	Législation	Législation nationale
DREV (Déclaration de revendication)	fr	Les volumes revendiqués sur la déclaration de revendication déterminent les volumes maximum pouvant être commercialisés sous les appellations d'origine contrôlée concernées.	https://www.guide-viticulteur.com/ma-production/je-recolte-japporte-ou-jachete-du-raisin/declaration-de-revendication-drev	NA	NA	syntagme nominal	feminin	singulier	\deklaʀasjɔ\; \ʀ əvɑ ̃dikasjɔ ̃\	xiiie siècle, aux sens 1 et 2 ; xviie siècle, au sens 3. Emprunté du latin declaratio, « action de montrer, manifestation »; xvie siècle. Réfection du moyen français reivendication, « action de revendiquer », emprunté du latin juridique rei vindicatio, « action de réclamer une chose », composé de rei, génitif de res, « chose », et vindicatio, « réclamation », lui-même dérivé de vindicare, « revendiquer ; venger ».	NA	NA	NA	DREV	NA	effectuer une déclaration de revendication	NA	NA	document	NA	L’article D.644-5 du code rural prévoit que « tout opérateur préalablement habilité et vinifiant une appellation d'origine contrôlée, est tenu de présenter une déclaration de revendication selon les modalités et dans les délais fixés dans le cahier des charges. Les vins ne peuvent être expédiés des chais des opérateurs habilités et commercialisés sous l'appellation d'origine contrôlée concernée avant le dépôt de cette déclaration. Le volume revendiqué sur la déclaration de revendication détermine le volume maximum pouvant être commercialisé sous l'appellation d'origine contrôlée concernée. Ce volume figure sur la comptabilité matière de l'opérateur. »	https://www.guide-viticulteur.com/ma-production/je-recolte-japporte-ou-jachete-du-raisin/declaration-de-revendication-drev	spécialisé	DREV (Déclaration de revendication)	DREV (Déclaration de revendication)	œnologie	Législation	Législation nationale
Immatriculation au Registre du Commerce et des Sociétés	fr	L'immatriculation au Registre du Commerce et des Sociétés emporte présomption (en d'autres termes, apporte une preuve sauf preuve contraire) de l'existence de la personnalité juridique des sociétés et de la naissance du fonds de commerce des entreprises individuelles.	https://www.infogreffe.fr/informations-et-dossiers-entreprises/dossiers-thematiques/creation-entreprise/dossier-immatriculation-au-rcs.html	NA	NA	syntagme nominal	feminin	singulier	\im(m)atʀikylasjɔ ̃\; \ʀ ə ʒistʀ ̭\; \kɔmε ʀs\; \sɔsjete\	xviie siècle. Dérivé d’immatriculer.; xiiie siècle. Emprunté du latin tardif regesta, « registre, catalogue », lui-même dérivé de regerere, « porter en arrière », puis « transcrire, consigner »; xive siècle, au sens de « relations pour l’échange des marchandises ». Emprunté du latin commercium, « négoce, lieu où l’on commerce » et « rapports humains, relations charnelles »; xive siècle, au sens de « relations pour l’échange des marchandises ». Emprunté du latin commercium, « négoce, lieu où l’on commerce » et « rapports humains, relations charnelles ».	NA	NA	NA	Immatriculation au RCS	NA	obligation d'immatriculation; demande d'immatriculation	NA	NA	immatriculation	NA	L'immatriculation au Registre du Commerce et des Sociétés emporte présomption (en d'autres termes, apporte une preuve sauf preuve contraire) de l'existence de la personnalité juridique des sociétés et de la naissance du fonds de commerce des entreprises individuelles. Par conséquent, elle a principalement pour fonctions d'en informer le public, et plus généralement, de permettre d'identifier les entreprises et sociétés qui y sont assujetties et de servir les impératifs statistiques de leur recensement au Répertoire SIRENE tenu par l'INSEE.	https://www.infogreffe.fr/informations-et-dossiers-entreprises/dossiers-thematiques/creation-entreprise/dossier-immatriculation-au-rcs.html	spécialisé	immatriculation au registre du commerce et des societés	immatriculation au registre du commerce et des societés	œnologie	Législation	Législation nationale
secteur vitivinicole	fr	Le secteur vitivinicole est le secteur des activités de la viticulture et de la viniculture.	https://www.larousse.fr/dictionnaires/francais/vitiviniculture/82260	NA	NA	syntagme nominal	masculin	singulier	\sεktœ:ʀ\; \vitivinikɔl\	xvie siècle. Emprunté du latin sector, « celui qui tranche, qui coupe », puis « secteur d’un cercle », lui-même dérivé de secare, « trancher, couper, découper »	secteur viti-vinicole	NA	NA	NA	NA	responsable du secteur vitivinicole	secteur de la vigne et du vin	NA	NA	NA	Le secteur vitivinicole est régi par un ensemble législatif composé d’un règlement de base, de règlements délégués et de règlements d’exécution, et complété par des orientations et des interprétations juridiques.	https://ec.europa.eu/info/food-farming-fisheries/plants-and-plant-products/plant-products/wine_fr	spécialisé / non spécialisé	secteur vitivinicole	secteur vitivinicole	œnologie	Législation	Législation nationale
